rbo,cluster,signature_name,current_p
0.00159495189776267,K169-63,glp1r,0.98
0.00483811764163457,K169-64,glp1r,0.98
0.00378732629784123,K169-65,glp1r,0.98
0.0120174991493108,K169-66,glp1r,0.98
0.0247254531130451,K169-67,glp1r,0.98
0.0813266860973894,K169-68,glp1r,0.98
0.0445785545794972,K169-69,glp1r,0.98
0.00524205950562647,K169-7,glp1r,0.98
0.0206231201684803,K169-70,glp1r,0.98
0.011319088611438,K169-71,glp1r,0.98
0.0330113000337732,K169-72,glp1r,0.98
0.0180880745758493,K169-73,glp1r,0.98
0.0312252652887504,K169-74,glp1r,0.98
0.0501726073479944,K169-75,glp1r,0.98
0.0043773280654453,K169-76,glp1r,0.98
0.0102569754102595,K169-77,glp1r,0.98
0.00214515826418353,K169-78,glp1r,0.98
0.0047783921564999,K169-79,glp1r,0.98
0.000945072670507359,K169-8,glp1r,0.98
0.0518412074105422,K169-80,glp1r,0.98
0.0106413043978927,K169-81,glp1r,0.98
0.0758422649995126,K169-82,glp1r,0.98
0.0179034982843499,K169-83,glp1r,0.98
0.00071784273921129,K169-84,glp1r,0.98
0.0144167273136162,K169-85,glp1r,0.98
0,K169-86,glp1r,0.98
0.00240794017702026,K169-87,glp1r,0.98
0.030106727065908,K169-88,glp1r,0.98
0.0239663859476486,K169-89,glp1r,0.98
0.00987193722883162,K169-9,glp1r,0.98
0.0131910681969317,K169-90,glp1r,0.98
0.00291969659873696,K169-91,glp1r,0.98
0.000923841532334262,K169-92,glp1r,0.98
0.0188260023377949,K169-93,glp1r,0.98
0.0294868415748663,K169-94,glp1r,0.98
0.0300754341000441,K169-95,glp1r,0.98
0.048540130591429,K169-96,glp1r,0.98
0.00863260677179786,K169-97,glp1r,0.98
0.00708808564738893,K169-98,glp1r,0.98
0.0352745056574513,K169-99,glp1r,0.98
0.00729977593917986,K169-1,pnoc,0.98
0.0153367274518428,K169-10,pnoc,0.98
0.00442979805044942,K169-100,pnoc,0.98
0.00832128239963323,K169-101,pnoc,0.98
