cluster	glp1r	pnoc
C286-206	0	1.88336440727925e-05
C286-207	0.00570340812946478	0.00243596802986019
C286-208	0.00450344381012345	0.00273751253295454
C286-209	0.000105796850201856	3.0499012286356e-05
C286-21	0.0133767208399206	0.031802906322662
C286-210	0.118192785670105	0.0423024802897732
C286-211	0	7.94502523380624e-06
C286-212	0	0.000219760739066174
C286-213	7.22149892970568e-06	0.000341787876733789
C286-214	0	4.34096698000101e-05
C286-215	0.00539991093097202	4.9002494295754e-05
C286-216	6.77594224347516e-05	0
C286-217	0.00564467081021327	0.00652334322662954
C286-218	6.45588642966085e-05	6.09300290982478e-05
C286-219	0.00907722837509855	3.16620370409125e-06
C286-22	0.0449652720863222	0.00200477715623107
C286-220	7.54293480722444e-05	7.94502523380624e-06
C286-221	0.00519167523021152	0.00380550960082462
C286-222	0.00575031109319258	0.000569407193231967
C286-223	0.0211075870900436	0.0254216670898224
C286-224	0.00926567372288971	0.00480557970435451
C286-225	0.00424006621850526	0.0220832351786021
C286-226	0	0
C286-227	1.13480100972216e-05	0
C286-228	0	0.000617190449192699
C286-229	0.000269751420765998	4.60971032524884e-06
C286-23	0.0109636778670107	1.70585491121071e-05
C286-230	0.176474390265082	0.0877878794717508
C286-231	0	0.0115670849090813
C286-232	0	0
C286-233	0.00010049163664007	0
C286-234	0	0
C286-235	0.000140042000595943	0.00110621043606122
C286-236	0	0
C286-237	0	0
C286-238	3.33206599235652e-05	0.000910423667816167
C286-239	0.000237055026424047	0.002400896313436
C286-24	0.0216732907257375	0.0730113717058809
C286-240	0.00128502370194636	0.00148995308789881
C286-241	0.000111168055670228	0.000152188004647037
C286-242	0.00034996545760051	0.000823995355880703
C286-243	0.00015505694009199	0.00197383019960322
C286-244	0.00135496720892485	0.000319722285778405
C286-245	0.000746721579593807	0.00215077659036849
C286-246	0.000165142803525553	0.000408911890067043
C286-247	0.00600177306513502	0.00238375036690178
C286-248	0.00190797733845664	0.00106394074768594
C286-249	0.0093827087070524	0.0015770355177599
C286-25	0.00713479813464419	0.001521707580665
C286-250	0.0357469979769134	0.0325974493667547
C286-251	0.00997370215489233	0.00663704320943807
C286-252	0.00852019585427093	0.00424994523177807
C286-253	0.00546250390931571	0.00213084570144727
C286-254	0.00043017081054311	0.000104486948940788
C286-255	0.0326689171806333	0.0365025923383126
C286-256	0.0119476624241875	0.0149581823690214
C286-257	0.000167542636461338	4.82302066546614e-05
C286-258	0.00117272274865508	7.76643491706148e-05
C286-259	0.00989760538323623	8.26434911883052e-05
C286-26	0.0125756706168132	0.00615858501708633
C286-260	0.0024497779500406	0.000286213966618236
C286-261	0.000804574220365232	4.49984744154084e-05
C286-262	0.00548255426349199	0.0004136085768408
C286-263	0.045162467783896	0.0298083155285715
C286-264	0.0228170126514021	8.81458271194652e-05
C286-265	0.0031878291414987	0.000377516794294697
C286-266	0.00170116527578316	0.000758377992860215
C286-267	0.00146371553438674	0.0107083810296758
C286-268	0.0198831719445358	0.00598077930581993
C286-269	0.0145247232249396	0.00199826014919635
C286-27	0.00355450476611695	0.00497705994884095
C286-270	0.000913777084474615	0.00336696295069789
C286-271	0.0229687760369457	0.00835843677416926
C286-272	0.0224435095122501	0.00884708445679127
C286-273	0.00375895181086195	0.00778084924359604
C286-274	0.00178897057219997	0.00300879419421866
C286-275	0.00141674892492683	0.00679507358067435
C286-276	0.000877912600093092	0.00488846908461947
C286-277	0.000972411038508342	0.00195923005339688
C286-278	0.00466835137488788	0.000699259125445893
C286-279	0.00411998310244157	0.0020461096614363
C286-28	0.00106558716253439	0.00553533346636536
C286-280	0.00929714724115673	0.00179033410965038
C286-281	0.00226292877129968	0.002272678570774
C286-282	0.00248131094668921	0.000370136196735193
C286-283	0.00207991009514139	0.000778675582156022
C286-284	0.00108751484970682	0.000967542623735997
C286-285	0.00391428342902375	0.000620923585628024
