cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cartpt,-1.81101317757039,1.16884885781926e-06,5.17714975882978e-10,0.186,0.623,-0.437,19
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,mt-Nd4,-0.929802232516007,1.44966859127953e-06,9.9528062250152e-06,0.1,0.549,-0.449,48
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps28,-0.980789528920083,1.72034458377994e-06,9.47757074644698e-07,0.186,0.59,-0.404,35
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Stmn3,-1.07095668286086,1.84929966545109e-06,9.27123577684267e-08,0.871,0.899,-0.028,49
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Aldoa,-1.25723981897485,2.16541066128069e-06,2.48004079106866e-10,0.357,0.672,-0.315,44
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl35a,-0.932998701228117,2.45648489196442e-06,8.08327404792567e-07,0.186,0.597,-0.411,55
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Stmn1,-1.34221762342095,2.8555867777537e-06,3.93624633972535e-11,0.4,0.69,-0.29,49
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl36,-0.898662526152814,3.2822038957225e-06,1.71575397006736e-06,0.3,0.675,-0.375,43
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Arl6ip1,-1.65471485593644,3.39330300279366e-06,1.10398727482856e-12,0.371,0.657,-0.286,59
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl14,-1.01789568542838,3.49304187635648e-06,2.66107879784775e-07,0.229,0.608,-0.379,42
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps27a,-1.20196416761035,3.56400219870647e-06,7.21829504699444e-10,0.329,0.627,-0.298,68
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Hint1,-1.06770735352385,4.10013859674292e-06,4.39682363491548e-08,0.371,0.664,-0.293,27
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Bex1,-0.92059198624128,4.37442019929544e-06,1.75016683595299e-06,0.471,0.731,-0.26,9
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Eif1,-0.986625458852515,4.61899833875906e-06,1.6296564558872e-07,0.629,0.806,-0.177,29
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cdr1os,-0.644004411698256,5.09474235864668e-06,0.200627070143861,0.814,0.899,-0.0850000000000001,14
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Hsp90ab1,-1.69595396970889,5.11960332946289e-06,6.91348382600772e-14,0.614,0.735,-0.121,60
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufb11,-0.814986680847452,6.12175894609689e-06,0.002476661432539,0.057,0.489,-0.432,35
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps4x,-0.901085315537501,6.29808815774779e-06,4.51834295186663e-05,0.1,0.526,-0.426,47
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Nrsn2,-1.15949463138991,7.73783905446549e-06,1.58190627996909e-08,0.329,0.634,-0.305,50
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ubl5,-0.834119617393827,9.42497353406775e-06,9.07230727541554e-05,0.114,0.522,-0.408,13
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Mif,-0.82133264495891,9.9137644707428e-06,8.30513957275073e-05,0.129,0.556,-0.427,36
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps3a1,-1.03311316065901,1.3265346114105e-05,4.28203256918369e-07,0.157,0.549,-0.392,65
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufa4,-1.27323027327505,1.43329830261795e-05,2.3071350458946e-09,0.243,0.586,-0.343,62
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tuba1b,-0.880455055028175,1.50759130172589e-05,1.94991762606349e-05,0.157,0.552,-0.395,27
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rtl8a,-0.833088037751708,1.74730086515741e-05,4.57825184635009e-05,0.186,0.601,-0.415,31
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps3,-0.916238935907066,1.82057179852478e-05,5.10572999395692e-06,0.143,0.537,-0.394,50
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cox6c,-1.00082648867294,1.87479909004177e-05,7.2525649032228e-07,0.157,0.56,-0.403,47
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5o.1,-0.948885377919285,1.88114016175355e-05,4.30781495326556e-06,0.143,0.534,-0.391,27
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Calm1,-1.92136451428345,1.907234830964e-05,6.77305340295393e-16,0.471,0.683,-0.212,34
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps11,-0.941840356100943,2.28790371796217e-05,2.31386191167895e-06,0.2,0.582,-0.382,52
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tomm20,-0.930036794040198,2.66665945720147e-05,2.45687099108565e-05,0.114,0.507,-0.393,26
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Dynlrb1,-0.719288556847512,2.69551861827305e-05,0.275906151304409,0.014,0.422,-0.408,12
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Gm1673,-0.883969373017726,2.83386577679972e-05,5.15213615963412e-06,0.314,0.66,-0.346,48
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps26,-0.87379222146706,2.87632127150389e-05,3.09149226455724e-05,0.229,0.601,-0.372,21
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Snhg14,-0.462478446770035,3.7571888185274e-05,1,1,1,0,6
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tpt1,-1.01653888995251,4.15183272117282e-05,7.17632051040671e-07,0.2,0.563,-0.363,46
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl22l1,-0.852474921155531,4.28393172318663e-05,3.21410163230222e-05,0.229,0.597,-0.368,24
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Avp,-0.763795395458357,4.2840858303846e-05,0.000306168314323073,0.171,0.567,-0.396,32
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps16,-0.968818504346685,4.47485891419692e-05,1.63679454468375e-06,0.171,0.545,-0.374,43
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cycs,-0.629151755649045,4.48205601413564e-05,0.125115217916374,0.043,0.444,-0.401,10
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,6330403K07Rik,-0.756449335637907,4.55640910024368e-05,0.000666128256316811,0.929,0.914,0.015,28
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufa5,-0.917050777546263,5.08464435785639e-05,6.57590670569535e-06,0.229,0.582,-0.353,39
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Slc25a4,-1.14975796917189,5.43898207079934e-05,7.63558998923856e-09,0.543,0.694,-0.151,35
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Nenf,-1.09741014849176,5.66425536066598e-05,1.25002198435746e-07,0.243,0.593,-0.35,46
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps27,-0.783523776395804,5.69330034907494e-05,0.000946162237435376,0.186,0.567,-0.381,24
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Mrfap1,-0.781282526167434,5.93797268330329e-05,0.000325709854066306,0.129,0.549,-0.42,12
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rplp2,-0.961214393837891,7.35349357695907e-05,2.08225613213289e-06,0.243,0.59,-0.347,46
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Pfdn5,-0.756908112670459,7.58915126011226e-05,0.000491860585281077,0.1,0.507,-0.407,22
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Fkbp3,-0.971301075339404,8.03856296749443e-05,6.09338151960555e-07,0.271,0.604,-0.333,28
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Clk1,-0.772987278964819,8.05132708800795e-05,0.00652996296015871,0.7,0.884,-0.184,31
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl34,-0.777830564983895,9.39624000076666e-05,0.000108312389013315,0.157,0.537,-0.38,35
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5h,-0.837186131368625,9.9079797683382e-05,1.1040143704756e-05,0.186,0.575,-0.389,31
