cluster_id,cluster_name,clusterlevel,ncells,likely_region,pct_of_all
K240-41,Cpne9.Sall3.Pitx2.Foxb1.HY2,K240,568,,0.67
K240-84,Qrfpr.Cd40.Fezf1.HY2,K240,425,,0.5
K240-135,Sox6.Adarb2.Gm28928.Hmx3.Hmx2.HY1,K240,278,,0.33
K240-186,Cd24a.Adarb2.Gm28928.Hmx3.Hmx2.HY1,K240,165,,0.19
K240-163,Tcf7l2.Dmrta2.Meis2.Tbr1.Nrn1.HY2,K240,217,,0.25
K240-170,Samd3.Dmrta2.Meis2.Tbr1.Nrn1.HY2,K240,203,,0.24
K240-53,Nts.Prok2.Hmx3.Hmx2.HY1,K240,419,,0.49
K240-130,Ebf3.Gpr50.Pou3f3.Sim1.Nrn1.HY2,K240,289,,0.34
K240-204,Cckar.Gpr50.Pou3f3.Sim1.Nrn1.HY2,K240,113,,0.13
K240-68,Nfix.Nms.Six6.HY1,K240,509,,0.6
K240-195,Reln.Fbxw13.Sp9.Gad2.Arx.HY1,K240,140,,0.16
K240-86,Nr4a2.Fbxw13.Sp9.Gad2.Arx.HY1,K240,424,,0.5
K240-114,Crhbp.Crh.Lhx8.Arx.HY1,K240,362,,0.42
K240-87,Nts.Hmx3.Hmx2.HY1,K240,418,,0.49
K329-23,Mbnl3.Ghrh.Gsx1.Hmx2.HY1,K329,582,,0.68
K329-40,Slc18a3.Ghrh.Gsx1.Hmx2.HY1,K329,532,,0.62
K329-48,Igfbp4.Prokr2.Six6.HY1,K329,498,,0.58
K329-154,Fam159b.Sox14.Foxg1.HY14.HY10.HY2,K329,236,,0.28
K329-243,Tac2.Sox14.Foxg1.HY14.HY10.HY2,K329,122,,0.14
K329-89,Rbms2.Fgf10.Gpr149.Cd40.Fezf1.HY2,K329,358,,0.42
K329-92,Gm13481.Gldn.Cd40.Fezf1.HY2,K329,346,,0.41
K329-75,Th.Gpc3.Sst.Il1rapl2.Otp.HY1,K329,389,,0.46
