gene,ensembl_gene_id,log2FoldChange,padj
Slc7a7,ENSMUSG00000000958,-0.427521642243345,0.43728145850959
Oxa1l,ENSMUSG00000000959,0.320215043631855,0.00255075390917649
Heatr6,ENSMUSG00000000976,-0.1357869642897,0.358412340487793
Ccl3,ENSMUSG00000000982,-1.41382616175437,0.285786674140369
Wfdc18,ENSMUSG00000000983,-3.3424808206426,3.6562622616668e-06
Icam4,ENSMUSG00000001014,0.134647643975438,0.815782161528299
Ilf2,ENSMUSG00000001016,0.502112052602346,1.05786211863136e-07
Chtop,ENSMUSG00000001017,-0.101532800741795,0.319828357568469
Snapin,ENSMUSG00000001018,-0.324665598546792,0.0335474386901628
S100a4,ENSMUSG00000001020,-1.74604056971399,0.00646006642721563
S100a3,ENSMUSG00000001021,-1.93026936400537,0.136508238953872
S100a5,ENSMUSG00000001023,-0.266829268756033,
S100a6,ENSMUSG00000001025,-2.90074614967392,2.33825508478715e-24
Scn4a,ENSMUSG00000001027,-2.1969119753409,0.273456595687453
Icam2,ENSMUSG00000001029,-1.982651564162,0.277297615084578
Mapk7,ENSMUSG00000001034,-0.810150056863444,2.29317340095316e-06
Epn2,ENSMUSG00000001036,-0.583344485902902,7.83135540949474e-12
B9d1,ENSMUSG00000001039,0.349829017159127,0.0295555790465335
Sec24b,ENSMUSG00000001052,0.120772156338769,0.357117106178504
N4bp3,ENSMUSG00000001053,0.712398755572875,0.000638248933380472
Rmnd5b,ENSMUSG00000001054,0.381167162620298,0.000432278894340663
Nhp2,ENSMUSG00000001056,0.662423930362207,0.000757893047800746
Vps9d1,ENSMUSG00000001062,0.417896618679599,0.00404486116531823
Zfp276,ENSMUSG00000001065,-1.1291698013645,1.56685791104958e-12
C1ql4,ENSMUSG00000001076,0.24489756998198,0.864382318408018
Mfsd10,ENSMUSG00000001082,0.265038900454918,0.317781448538401
Luzp1,ENSMUSG00000001089,0.0142387944489397,0.939910103256946
Slc13a2,ENSMUSG00000001095,,
Kctd10,ENSMUSG00000001098,0.517158841585345,3.85329708805696e-09
Poldip2,ENSMUSG00000001100,0.457346581694312,0.001139557040108
Sebox,ENSMUSG00000001103,-3.663348673184,0.0406195655133155
Ift20,ENSMUSG00000001105,0.345828487788115,0.0440588884545667
Col6a1,ENSMUSG00000001119,-3.49986696593308,7.5274064781133e-07
Pcbp3,ENSMUSG00000001120,0.823766101036407,1.32502624815151e-25
Lgals9,ENSMUSG00000001123,-2.35801193320342,2.10087208607526e-16
Araf,ENSMUSG00000001127,0.777302907600574,3.38436720019202e-08
Cfp,ENSMUSG00000001128,-2.55769426683851,3.17519768661772e-07
Timp1,ENSMUSG00000001131,-0.171303454079667,0.914070659817674
Uxt,ENSMUSG00000001134,-0.117946429970171,0.727747731209839
Cnnm3,ENSMUSG00000001138,-0.0279791879083087,0.887911619902803
Lman2l,ENSMUSG00000001143,0.0979333582498698,0.451278499639403
Mcm3ap,ENSMUSG00000001150,0.107895495855589,0.483515520662172
Pcnt,ENSMUSG00000001151,0.150921519742366,0.542668720154849
Ftcd,ENSMUSG00000001155,1.208273455141,0.664495034135753
Mxd1,ENSMUSG00000001156,-0.327601046611935,0.0114420423159421
Gmcl1,ENSMUSG00000001157,0.0495448703678361,0.775015594899202
Snrnp27,ENSMUSG00000001158,0.706712992896191,5.90270219378002e-06
Oas1c,ENSMUSG00000001166,0.661254375451257,0.00655624008518905
Oas1h,ENSMUSG00000001168,0.343820195114264,
Ocrl,ENSMUSG00000001173,0.15567713672053,0.196866423947369
Calm1,ENSMUSG00000001175,0.458990687848869,1.3200248481879e-09
Agpat3,ENSMUSG00000001211,-0.00141933595546223,0.993907408699397
Slc26a3,ENSMUSG00000001225,-0.684097633697499,0.644698118503645
Sema6b,ENSMUSG00000001227,0.790945782672057,0.000219234716894922
Uhrf1,ENSMUSG00000001228,-1.35203649251146,0.0410029163544744
Dpp9,ENSMUSG00000001229,0.561088341707517,7.70173156370344e-07
