cluster_id,cluster_name,gene,specificity,p_val_adj,avg_log2FC,pct.1,pct.2
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,C330019F10Rik,6.29353078073183,0.0000806117594099418,0.283492377510443,0.222,0.01
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Parp10,9.97684297582886,0.000084875540939504,0.404466607128197,0.222,0.009
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Zic1,13.5897848500249,0.000235165880166629,1.09989265872504,0.556,0.045
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm5134,8.73774627914814,0.000394831931308037,0.314873739789122,0.111,0.004
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Sostdc1,20.9756908485759,0.000570365605182703,0.881860876516704,0.333,0.014
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Onecut2,10.7304692049512,1.97738979965193e-308,1.35404835286358,0.737,0.093
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Pmfbp1,11.2464349343359,7.84763107855939e-251,0.96460650508924,0.513,0.044
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Gm20649,8.18142990186894,1.33516020442728e-226,1.01444460941048,0.621,0.077
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Tacr3,7.77422420061765,2.19025486292985e-155,0.507014621779412,0.276,0.018
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Zfpm2,3.70722736586096,5.01461658118427e-153,1.45462957180643,0.892,0.35
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Sox2ot,3.29182796420931,1.98437354781848e-137,1.44663291700678,0.892,0.392
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Vwc2l,3.23720933467183,9.58671792690916e-134,1.27149131210304,0.858,0.337
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Nrxn3,1.29806080777762,3.01847297666589e-131,1.18988907379615,0.996,0.913
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Ddc,3.94644834070625,1.15186244436049e-127,1.06107337462385,0.636,0.171
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Lypd6,4.71336374408711,1.76268751670798e-126,0.871378171175768,0.476,0.088
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Epha6,2.3268762569473,1.57818268490434e-125,1.59452257186599,0.95,0.651
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Adarb2,4.25868812428607,1.16699418249667e-123,2.27199195911973,0.821,0.438
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Gad2,2.70531093596947,3.23311562145818e-123,1.05604908825796,0.83,0.324
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Gria3,1.75331673102662,2.92808147545061e-119,1.19211239510169,0.981,0.667
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Grik3,2.63744135918356,5.81030742199363e-114,0.950333121325249,0.741,0.267
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Onecut3,5.35025505127638,1.31402759755252e-111,0.42802040410211,0.25,0.02
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Foxg1,5.85844894642864,2.87311614438809e-98,0.298519691537765,0.157,0.008
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,1700042O10Rik,3.97342582582672,2.51466147592779e-96,1.09134713204525,0.517,0.142
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Plxdc2,2.02327307196455,1.26754682712086e-93,1.08963382932038,0.869,0.468
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Onecut1,4.3593832625065,2.05710729920735e-91,0.289019884807061,0.181,0.012
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,Luzp2,1.9476577766505,7.57928664395179e-91,1.16943146847221,0.931,0.559
