gene,ensembl_gene_id,log2FoldChange,padj
Kpnb1,ENSMUSG00000001440,0.269476568488908,0.0324723221773295
Npepps,ENSMUSG00000001441,-0.273545563035447,0.0081142438078205
Tbx21,ENSMUSG00000001444,1.39116681703828,0.442039182400882
Mrpl10,ENSMUSG00000001445,0.577884175852424,0.00038217740139108
Cyp51,ENSMUSG00000001467,-0.263389559415485,0.077275283547948
Tcf25,ENSMUSG00000001472,0.0279470526016671,0.810885106935425
Tubb6,ENSMUSG00000001473,-0.583035606634475,0.0579912729390081
Def8,ENSMUSG00000001482,0.769848514781677,4.92650697727094e-05
Meox1,ENSMUSG00000001493,1.62059434220352,0.00464343616580918
Sost,ENSMUSG00000001494,-4.55206315739693,0.382735040923508
Nkx2-1,ENSMUSG00000001496,-2.10051014628208,1.39427635271707e-19
Pax9,ENSMUSG00000001497,-5.05387937913897,0.0874452362771621
Irx2,ENSMUSG00000001504,-1.21481109239858,0.149805629904172
Col1a1,ENSMUSG00000001506,-2.30668469852273,0.000277874355407109
Itga3,ENSMUSG00000001507,0.872286411767814,0.000103574448154034
Sgca,ENSMUSG00000001508,-4.28502522970924,0.414259768630346
Dlx3,ENSMUSG00000001510,-4.69399891011366,0.145968695377887
Foxm1,ENSMUSG00000001517,0.292490531969597,0.667518981053542
Itfg2,ENSMUSG00000001518,0.463143293006733,0.0372911301946788
Nrip2,ENSMUSG00000001520,0.122337774200847,0.363841665947621
Tulp3,ENSMUSG00000001521,-0.994129076097821,0.0564255305238521
Gtf2h4,ENSMUSG00000001524,0.503107233928981,0.48131665959799
Tubb5,ENSMUSG00000001525,0.60793215152384,1.56109670980988e-07
Ell2,ENSMUSG00000001542,-0.0783989566788846,0.770092091580789
Jup,ENSMUSG00000001552,-0.801630908928835,2.40569690108538e-07
Fkbp10,ENSMUSG00000001555,-1.09845784142832,0.587165906414252
Klhl10,ENSMUSG00000001558,0.623901394728824,0.777742187607236
Mnx1,ENSMUSG00000001566,,
Nom1,ENSMUSG00000001569,0.222727762327107,0.280978860866642
Ergic1,ENSMUSG00000001576,1.07692911924274,3.61682647862366e-12
Tnk1,ENSMUSG00000001583,-2.23733576976777,
Acap1,ENSMUSG00000001588,-3.26788711214883,
Tcea3,ENSMUSG00000001604,1.53936831053879,4.27667838765429e-05
Csn3,ENSMUSG00000001622,-0.540427902501454,
Ifrd1,ENSMUSG00000001627,-0.403263905339341,0.0058480370298672
Stk38l,ENSMUSG00000001630,-0.610149551525066,0.00297394320477935
Brpf1,ENSMUSG00000001632,-0.281558122256158,0.653879976328218
Akr1b3,ENSMUSG00000001642,0.462496953722506,0.054096372464208
Hoxc13,ENSMUSG00000001655,,
Hoxc11,ENSMUSG00000001656,,
Hoxc8,ENSMUSG00000001657,,
Hoxc6,ENSMUSG00000001661,,
Gstt1,ENSMUSG00000001663,-0.713839657497743,0.00595045804901603
Gstt3,ENSMUSG00000001665,-1.45180694052053,0.0129269280437879
Ddt,ENSMUSG00000001666,0.14691832752108,0.397004511597235
Tat,ENSMUSG00000001670,-3.93733424136912,0.457820797216476
Marveld3,ENSMUSG00000001672,-0.860443507855818,0.141083731102021
Ddx18,ENSMUSG00000001674,0.422749283576179,0.109470166312297
Ubl3,ENSMUSG00000001687,-0.294069617320575,0.141552491468285
Gramd3,ENSMUSG00000001700,-2.58972579769645,5.67120495230722e-05
Eef1e1,ENSMUSG00000001707,0.36920056437157,0.0201149983461611
Akt1,ENSMUSG00000001729,0.479139349338925,0.00563982535086047
Cldn15,ENSMUSG00000001739,3.63975622285805,0.497298566687361
Il16,ENSMUSG00000001741,-0.81188087029324,0.670030766885412
Tcirg1,ENSMUSG00000001750,-0.00647571682893315,0.996916621016537
Naglu,ENSMUSG00000001751,0.714286930436795,0.554871300853827
Coasy,ENSMUSG00000001755,0.563207521549095,0.0715380546531733
Smo,ENSMUSG00000001761,-0.905792023761967,0.0314095446112419
Tspan33,ENSMUSG00000001763,0.991824115556385,0.0305080553355197
Crnkl1,ENSMUSG00000001767,-0.329286423054082,0.0380488276130672
Rin2,ENSMUSG00000001768,-0.469115663051658,0.0668711680804808
Folh1,ENSMUSG00000001773,-1.77180212081515,0.119739286641487
Chordc1,ENSMUSG00000001774,0.0183983262376035,0.937647657987046
Rtcb,ENSMUSG00000001783,0.442088997142397,0.00161723186709849
