cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,pct.1,pct.2,pct_diff
K98-37,Trh.Sim1.Nrn1.HY2,Oaz1,1.07348844083476,0.000000274285685474037,0.779,0.4,0.379
K169-29,Trh.Sim1.Nrn1.HY2,Oaz1,1.07348844083476,0.000000274285685474037,0.779,0.4,0.379
K98-37,Trh.Sim1.Nrn1.HY2,Rpl13,1.30524779317029,0.000000335565159446052,0.658,0.257,0.401
K169-29,Trh.Sim1.Nrn1.HY2,Rpl13,1.30524779317029,0.000000335565159446052,0.658,0.257,0.401
K98-37,Trh.Sim1.Nrn1.HY2,Ckb,1.09200598172513,0.000000349499381611302,0.738,0.314,0.424
K169-29,Trh.Sim1.Nrn1.HY2,Ckb,1.09200598172513,0.000000349499381611302,0.738,0.314,0.424
K98-37,Trh.Sim1.Nrn1.HY2,Cisd1,1.06228737240781,0.000000360168967062358,0.533,0.071,0.462
K169-29,Trh.Sim1.Nrn1.HY2,Cisd1,1.06228737240781,0.000000360168967062358,0.533,0.071,0.462
K98-37,Trh.Sim1.Nrn1.HY2,Ctsb,1.14990248982734,0.00000038753915713768,0.667,0.229,0.438
K169-29,Trh.Sim1.Nrn1.HY2,Ctsb,1.14990248982734,0.00000038753915713768,0.667,0.229,0.438
K98-37,Trh.Sim1.Nrn1.HY2,Pebp1,1.26563838737057,0.000000411721299583079,0.708,0.357,0.351
K169-29,Trh.Sim1.Nrn1.HY2,Pebp1,1.26563838737057,0.000000411721299583079,0.708,0.357,0.351
K98-37,Trh.Sim1.Nrn1.HY2,Rps23,1.01441364607443,0.000000496301350167363,0.537,0.071,0.466
K169-29,Trh.Sim1.Nrn1.HY2,Rps23,1.01441364607443,0.000000496301350167363,0.537,0.071,0.466
K98-37,Trh.Sim1.Nrn1.HY2,Atp5g3,1.23518586061915,0.000000502467573861924,0.596,0.157,0.439
K169-29,Trh.Sim1.Nrn1.HY2,Atp5g3,1.23518586061915,0.000000502467573861924,0.596,0.157,0.439
K98-37,Trh.Sim1.Nrn1.HY2,Rpl32,1.16929826336509,0.000000536603737150586,0.533,0.071,0.462
K169-29,Trh.Sim1.Nrn1.HY2,Rpl32,1.16929826336509,0.000000536603737150586,0.533,0.071,0.462
K98-37,Trh.Sim1.Nrn1.HY2,Rpl36a,0.986455955409635,0.000000549027175958534,0.517,0.043,0.474
K169-29,Trh.Sim1.Nrn1.HY2,Rpl36a,0.986455955409635,0.000000549027175958534,0.517,0.043,0.474
K98-37,Trh.Sim1.Nrn1.HY2,Chchd10,1.09040643844495,0.000000660688410610746,0.562,0.1,0.462
K169-29,Trh.Sim1.Nrn1.HY2,Chchd10,1.09040643844495,0.000000660688410610746,0.562,0.1,0.462
K98-37,Trh.Sim1.Nrn1.HY2,Mdh1,1.30570292925656,0.000000668829889762786,0.758,0.471,0.287
K169-29,Trh.Sim1.Nrn1.HY2,Mdh1,1.30570292925656,0.000000668829889762786,0.758,0.471,0.287
K98-37,Trh.Sim1.Nrn1.HY2,Rab3a,1.27068754057147,0.00000068958699535509,0.579,0.143,0.436
K169-29,Trh.Sim1.Nrn1.HY2,Rab3a,1.27068754057147,0.00000068958699535509,0.579,0.143,0.436
K98-37,Trh.Sim1.Nrn1.HY2,Rpl3,1.24839697768711,0.000000824014707055369,0.6,0.171,0.429
K169-29,Trh.Sim1.Nrn1.HY2,Rpl3,1.24839697768711,0.000000824014707055369,0.6,0.171,0.429
K98-37,Trh.Sim1.Nrn1.HY2,Rps7,1.08820686471255,0.000000893716300609933,0.583,0.129,0.454
K169-29,Trh.Sim1.Nrn1.HY2,Rps7,1.08820686471255,0.000000893716300609933,0.583,0.129,0.454
K98-37,Trh.Sim1.Nrn1.HY2,Cox5b,1.21492602558392,0.000000898798771957815,0.625,0.2,0.425
K169-29,Trh.Sim1.Nrn1.HY2,Cox5b,1.21492602558392,0.000000898798771957815,0.625,0.2,0.425
K98-37,Trh.Sim1.Nrn1.HY2,Rpl34,1.07916140885216,0.000000903753639258543,0.604,0.143,0.461
K169-29,Trh.Sim1.Nrn1.HY2,Rpl34,1.07916140885216,0.000000903753639258543,0.604,0.143,0.461
K98-37,Trh.Sim1.Nrn1.HY2,Mt3,1.14840123325044,0.000000920983980587662,0.742,0.414,0.328
K169-29,Trh.Sim1.Nrn1.HY2,Mt3,1.14840123325044,0.000000920983980587662,0.742,0.414,0.328
K98-37,Trh.Sim1.Nrn1.HY2,Psmb4,0.94381171418787,0.0000012870681595924,0.5,0.043,0.457
K169-29,Trh.Sim1.Nrn1.HY2,Psmb4,0.94381171418787,0.0000012870681595924,0.5,0.043,0.457
K98-37,Trh.Sim1.Nrn1.HY2,Rpl28,1.03643482348625,0.00000130022150820641,0.571,0.114,0.457
K169-29,Trh.Sim1.Nrn1.HY2,Rpl28,1.03643482348625,0.00000130022150820641,0.571,0.114,0.457
K98-37,Trh.Sim1.Nrn1.HY2,Rpl18a,1.02379109335347,0.00000131245725237733,0.55,0.086,0.464
K169-29,Trh.Sim1.Nrn1.HY2,Rpl18a,1.02379109335347,0.00000131245725237733,0.55,0.086,0.464
K98-37,Trh.Sim1.Nrn1.HY2,Spcs2,1.06225042580629,0.00000137197159494049,0.75,0.414,0.336
K169-29,Trh.Sim1.Nrn1.HY2,Spcs2,1.06225042580629,0.00000137197159494049,0.75,0.414,0.336
K98-37,Trh.Sim1.Nrn1.HY2,Septin7,0.951109259345085,0.00000141958653069274,0.729,0.329,0.4
K169-29,Trh.Sim1.Nrn1.HY2,Septin7,0.951109259345085,0.00000141958653069274,0.729,0.329,0.4
K98-37,Trh.Sim1.Nrn1.HY2,Hint1,1.23106631850591,0.00000145256591405974,0.654,0.243,0.411
K169-29,Trh.Sim1.Nrn1.HY2,Hint1,1.23106631850591,0.00000145256591405974,0.654,0.243,0.411
K98-37,Trh.Sim1.Nrn1.HY2,Uqcrb,0.855080043092514,0.00000155415653544461,0.571,0.1,0.471
K169-29,Trh.Sim1.Nrn1.HY2,Uqcrb,0.855080043092514,0.00000155415653544461,0.571,0.1,0.471
