gene	pearson	spearman	marker_gene	G-protein coupled receptors	growth factors	ion channels	ligand-dependent nuclear receptors	neuropeptide/hormones	transcription regulators	translation regulators	transmembrane receptors
Pdzrn3	0.833037534890285	0.72038079879889	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Trhde	0.807037396488856	0.891133166965733	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Adamts18	0.862146980734058	0.885924048773125	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Col12a1	0.827405142092391	0.707129727510517	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
H2-Q2	0.931657233871167	0.858623684422869	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Erbb4	0.65783651296015	0.783525299557596	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
R3hdm1	0.894389644266241	0.838451716087759	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Kcnt2	0.751429713290136	0.735396164114999	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025G04Rik	0.907213077087582	0.855057976809276	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Prox1	0.950246354179125	0.902511697617221	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Sfmbt2	0.886598372663985	0.883180410386043	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Gpr176	0.86347548333188	0.821987334098619	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Eif2ak4	0.720543202158767	0.598824986134579	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pak7	0.821192596979295	0.685790200049013	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pcdh11x	0.854680661829549	0.858985438082831	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Il1rapl2	0.745932096878959	0.785595439243657	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Trpc4	0.897721049306038	0.938726023665986	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Kcnd3	0.685793809778304	0.730256284582941	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Col25a1	0.883933610238435	0.932697888586501	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Gm43210	0.701253653431571	0.792153395312039	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Lrrc7	0.64726438673462	0.742219241335724	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Runx1t1	0.861318844819406	0.904514997342444	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
