ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000001773,0.439152941401309,0.45344553250299,ip_input_control,Folh1
ENSMUSG00000001774,0.0334472333053909,0.908679225286271,ip_input_control,Chordc1
ENSMUSG00000001783,0.793175180114269,0.0211213333001633,ip_input_control,Rtcb
ENSMUSG00000001785,0.26847363480171,0.62582310991456,ip_input_control,Pwp1
ENSMUSG00000001786,0.565012035898322,0.188743961805783,ip_input_control,Fbxo7
ENSMUSG00000001794,1.39429154776596,2.50253563966003e-06,ip_input_control,Capns1
ENSMUSG00000001802,1.20518968950238,0.00287670974612832,ip_input_control,Lrp3
ENSMUSG00000001829,1.10262365503172,0.0177746924272421,ip_input_control,Clpb
ENSMUSG00000001833,0.51470641644638,0.0347403192562057,ip_input_control,Septin7
ENSMUSG00000001844,0.558891338854784,0.321051350406656,ip_input_control,Zdhhc4
ENSMUSG00000001847,0.73514332045351,0.00100301208818356,ip_input_control,Rac1
ENSMUSG00000001855,1.1209655488423,0.000431966056264286,ip_input_control,Nup214
ENSMUSG00000001864,0.0468591591588902,0.965306562288034,ip_input_control,Aif1l
ENSMUSG00000001891,0.125154600022761,0.675924401452799,ip_input_control,Ugp2
ENSMUSG00000001901,0.310576350497223,0.748333809708433,ip_input_control,Kcnh6
ENSMUSG00000001909,0.835056289631041,0.122472813681668,ip_input_control,Trmt1
ENSMUSG00000001910,1.29708405356843,0.000187745922147226,ip_input_control,Nacc1
ENSMUSG00000001911,0.718085807845385,0.0386411992886103,ip_input_control,Nfix
ENSMUSG00000001918,2.36471472289761,,ip_input_control,Slc1a5
ENSMUSG00000001924,1.27347747314081,0.00019726223039003,ip_input_control,Uba1
ENSMUSG00000001930,2.70414939025068,0.00918280153771755,ip_input_control,Vwf
ENSMUSG00000001942,0.0964912825089037,0.892678274049277,ip_input_control,Siae
ENSMUSG00000001943,0.471042114680167,,ip_input_control,Vsig2
ENSMUSG00000001946,1.0935664385656,,ip_input_control,Esam
ENSMUSG00000001948,0.560781983075646,,ip_input_control,Spa17
ENSMUSG00000001962,0.805090779827843,0.202582749028506,ip_input_control,Fam50a
ENSMUSG00000001964,0.838741188627361,0.0898740889112169,ip_input_control,Emd
ENSMUSG00000001983,0.597260488315391,0.413211051810535,ip_input_control,Taco1
ENSMUSG00000001985,0.96500935769958,5.99972001020798e-05,ip_input_control,Grik3
ENSMUSG00000001986,0.263754729304396,0.225341112960407,ip_input_control,Gria3
ENSMUSG00000001988,1.65846832214615,,ip_input_control,Npas1
ENSMUSG00000001995,1.22515200932812,0.00113825532745222,ip_input_control,Sipa1l2
ENSMUSG00000001998,-0.146251619923924,0.74320058335158,ip_input_control,Ap4e1
ENSMUSG00000001999,0.6865974278344,0.134002846867431,ip_input_control,Blvra
ENSMUSG00000002006,1.06077312879101,0.00545573494736121,ip_input_control,Pdzd4
ENSMUSG00000002007,0.30265495348026,0.770594341541534,ip_input_control,Srpk3
ENSMUSG00000002010,1.2708960982485,2.51131665052039e-05,ip_input_control,Idh3g
ENSMUSG00000002012,1.20135066482542,1.84218073347864e-06,ip_input_control,Pnck
ENSMUSG00000002014,1.10279491082192,0.00390339256016536,ip_input_control,Ssr4
ENSMUSG00000002015,1.10826655188758,0.0003138146549182,ip_input_control,Bcap31
ENSMUSG00000002017,0.522518058625312,0.221466516860581,ip_input_control,Fam98a
ENSMUSG00000002028,0.669052638411563,0.0351942206367554,ip_input_control,Kmt2a
ENSMUSG00000002031,0.79066661528625,0.0225045397435736,ip_input_control,Ift46
ENSMUSG00000002032,1.22698053389302,8.88119080225248e-05,ip_input_control,Tmem25
ENSMUSG00000002043,1.23085279806945,,ip_input_control,Trappc6a
ENSMUSG00000002052,1.27538450263048,1.56656844994708e-07,ip_input_control,Supt6
ENSMUSG00000002055,0.566365839587674,0.439537280502918,ip_input_control,Spag5
ENSMUSG00000002058,1.18716230966079,0.0543293878809157,ip_input_control,Unc119
ENSMUSG00000002059,0.722365680861769,0.197776106568098,ip_input_control,Rab34
ENSMUSG00000002064,1.2220711672524,0.00116003614934142,ip_input_control,Sdf2
ENSMUSG00000002068,1.40050343547122,0.0085190210495727,ip_input_control,Ccne1
ENSMUSG00000002083,0.0844980227831024,,ip_input_control,Bbc3
ENSMUSG00000002102,1.0802939886355,0.000131982053888526,ip_input_control,Psmc3
ENSMUSG00000002103,1.00330754649644,1.61959774176493e-05,ip_input_control,Acp2
ENSMUSG00000002104,2.00139625365516,,ip_input_control,Rapsn
ENSMUSG00000002105,0.898060803607246,0.00614585544400692,ip_input_control,Slc39a13
ENSMUSG00000002107,-0.0794990483706202,0.698704614706288,ip_input_control,Celf2
ENSMUSG00000002108,1.80927888298787,,ip_input_control,Nr1h3
ENSMUSG00000002109,0.26840506576757,0.782841131841224,ip_input_control,Ddb2
