ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000001323,-0.395617032241004,0.04086518807456,ip_input_cre,Srr
ENSMUSG00000001333,-1.25746890666506,0.0220288613350867,ip_input_cre,Sync
ENSMUSG00000001334,-1.43044498183668,3.65410397179849e-12,ip_input_cre,Fndc5
ENSMUSG00000001366,0.908657102652057,5.17734553015285e-06,ip_input_cre,Fbxo9
ENSMUSG00000001376,-0.876051460702454,0.000113409991761143,ip_input_cre,Vps50
ENSMUSG00000001380,0.246094868653911,0.20605193310119,ip_input_cre,Hars
ENSMUSG00000001383,0.783064908286884,0.000284929111992846,ip_input_cre,Zmat2
ENSMUSG00000001415,0.119996492779669,0.693278207657003,ip_input_cre,Smg5
ENSMUSG00000001416,0.692336249578395,0.023313635082895,ip_input_cre,Cct3
ENSMUSG00000001418,-0.0437890788556897,0.980475348563875,ip_input_cre,Glmp
ENSMUSG00000001419,0.17981477833403,0.399233270146736,ip_input_cre,Mef2d
ENSMUSG00000001424,0.832631502757936,0.00225393349539886,ip_input_cre,Snd1
ENSMUSG00000001436,0.247294898409252,0.698185516376359,ip_input_cre,Slc19a1
ENSMUSG00000001440,0.108471761400044,0.607493873222467,ip_input_cre,Kpnb1
ENSMUSG00000001441,-0.575694453277682,0.00411545879671943,ip_input_cre,Npepps
ENSMUSG00000001445,0.717476294690313,0.000100152559294765,ip_input_cre,Mrpl10
ENSMUSG00000001467,0.0312150026588104,0.905801165822678,ip_input_cre,Cyp51
ENSMUSG00000001472,0.269490397358779,0.138946467616938,ip_input_cre,Tcf25
ENSMUSG00000001473,1.13118999855287,0.1954834440967,ip_input_cre,Tubb6
ENSMUSG00000001482,0.356902402746011,0.222832896308198,ip_input_cre,Def8
ENSMUSG00000001493,2.70013611718971,1.25706836193779e-06,ip_input_cre,Meox1
ENSMUSG00000001496,0.951888313897808,0.000354295697091056,ip_input_cre,Nkx2-1
ENSMUSG00000001504,-1.42597528420091,0.10734987050307,ip_input_cre,Irx2
ENSMUSG00000001507,0.78938946071563,0.0902004524797865,ip_input_cre,Itga3
ENSMUSG00000001517,-0.563443056072492,0.419588199195513,ip_input_cre,Foxm1
ENSMUSG00000001518,0.41300622235124,0.215837892456925,ip_input_cre,Itfg2
ENSMUSG00000001520,0.251036839087467,0.355866059406958,ip_input_cre,Nrip2
ENSMUSG00000001521,-0.797630171707918,0.135079466148215,ip_input_cre,Tulp3
ENSMUSG00000001524,0.00089461605236272,0.99905970633761,ip_input_cre,Gtf2h4
ENSMUSG00000001525,0.676406874003719,0.0161307374262146,ip_input_cre,Tubb5
ENSMUSG00000001542,0.767547297686549,0.0162566439188494,ip_input_cre,Ell2
ENSMUSG00000001552,-1.09726965394355,1.55177639075904e-05,ip_input_cre,Jup
ENSMUSG00000001555,-1.05036708656754,0.401310593380021,ip_input_cre,Fkbp10
ENSMUSG00000001569,0.194938383764161,0.344097871246581,ip_input_cre,Nom1
ENSMUSG00000001576,0.766709109917915,0.013019227634406,ip_input_cre,Ergic1
ENSMUSG00000001583,2.1653876910882,,ip_input_cre,Tnk1
ENSMUSG00000001627,-0.204014323336996,0.633842788806187,ip_input_cre,Ifrd1
ENSMUSG00000001630,-0.0893362268563823,0.754119698348821,ip_input_cre,Stk38l
ENSMUSG00000001632,-0.00306037047773835,0.992034844833704,ip_input_cre,Brpf1
ENSMUSG00000001642,0.283720967800959,0.155148573134929,ip_input_cre,Akr1b3
ENSMUSG00000001663,-1.70187027176915,0.000313338586761869,ip_input_cre,Gstt1
ENSMUSG00000001665,-2.57714461467993,1.07955375615147e-10,ip_input_cre,Gstt3
ENSMUSG00000001666,0.682047293672694,0.0607721011873172,ip_input_cre,Ddt
ENSMUSG00000001672,1.29923432923942,0.211348158423817,ip_input_cre,Marveld3
ENSMUSG00000001674,0.293092863654941,0.182883476886385,ip_input_cre,Ddx18
ENSMUSG00000001687,0.426140327872768,0.00160048356346472,ip_input_cre,Ubl3
ENSMUSG00000001700,-2.42340630803022,0.000119199892276017,ip_input_cre,Gramd3
ENSMUSG00000001707,0.954589339656016,0.0010484380889287,ip_input_cre,Eef1e1
ENSMUSG00000001729,0.617621919758711,0.000374630866311549,ip_input_cre,Akt1
ENSMUSG00000001750,0.337843874166574,0.659581284004204,ip_input_cre,Tcirg1
ENSMUSG00000001751,0.719895402664544,0.621593814230504,ip_input_cre,Naglu
ENSMUSG00000001755,-0.023151315873074,0.912314849854876,ip_input_cre,Coasy
ENSMUSG00000001761,-3.34854502968637,0.00374507649633495,ip_input_cre,Smo
ENSMUSG00000001763,0.600023401881285,0.0209430555425482,ip_input_cre,Tspan33
ENSMUSG00000001767,-0.870179055685198,0.000124450113346331,ip_input_cre,Crnkl1
ENSMUSG00000001768,-0.692779155139604,0.00303131942646461,ip_input_cre,Rin2
ENSMUSG00000001773,-4.30706270053322,4.11844927378975e-11,ip_input_cre,Folh1
ENSMUSG00000001774,-0.181420094683089,0.408060438818213,ip_input_cre,Chordc1
ENSMUSG00000001783,0.547815265677716,0.0130388600781947,ip_input_cre,Rtcb
ENSMUSG00000001785,0.46169458789138,0.261669275054764,ip_input_cre,Pwp1
ENSMUSG00000001786,-0.751873616526398,1.95609457498403e-06,ip_input_cre,Fbxo7
