ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,external_gene_name
ENSMUSG00000059182,163.533927097863,-1.45230540588574,0.277754846834761,-5.22873110023434,1.70677393122962e-07,8.73426563689154e-07,hypoip_vs_hypoinput,Skap2
ENSMUSG00000038235,104.101261779422,-2.0465382844668,0.391410274433286,-5.22862688627665,1.70773611780221e-07,8.73570084371958e-07,hypoip_vs_hypoinput,F11r
ENSMUSG00000025239,153.174470000895,-1.79081592366398,0.342609652739797,-5.22698619067823,1.72295363097388e-07,8.8100270659614e-07,hypoip_vs_hypoinput,Limd1
ENSMUSG00000030177,162.985492067901,-1.31756128893819,0.252209088046683,-5.22408331572219,1.75019967715552e-07,8.94577529440398e-07,hypoip_vs_hypoinput,Ccdc77
ENSMUSG00000101892,1112.69726523531,0.660483415766202,0.126486846183032,5.22175574534013,1.77234643223362e-07,9.05536171556681e-07,hypoip_vs_hypoinput,9130401M01Rik
ENSMUSG00000032042,1655.09220494267,0.543741211656231,0.104157585367284,5.2203707462963,1.78565296550422e-07,9.11971187723042e-07,hypoip_vs_hypoinput,Srpr
ENSMUSG00000003402,726.130873020486,0.682877517789463,0.130827360764338,5.21968427552051,1.79228405807001e-07,9.14628750303032e-07,hypoip_vs_hypoinput,Prkcsh
ENSMUSG00000022427,2030.34226583959,0.533937049931807,0.10229220337972,5.21972381364954,1.79190148692288e-07,9.14628750303032e-07,hypoip_vs_hypoinput,Tomm22
ENSMUSG00000020225,1042.11725245447,0.717817596207653,0.137534005382773,5.21920083843907,1.79696818782481e-07,9.16654074792478e-07,hypoip_vs_hypoinput,Tmbim4
ENSMUSG00000000957,85.2293582461832,-2.60583244634982,0.499325801363773,-5.21870177594007,1.80181612967746e-07,9.18761316581256e-07,hypoip_vs_hypoinput,Mmp14
ENSMUSG00000042097,1381.35843551101,0.660689448707791,0.126704549158021,5.21440984635687,1.84403357659599e-07,9.39842301789786e-07,hypoip_vs_hypoinput,Zfp239
ENSMUSG00000062376,1271.51842990781,0.543378640772741,0.104208311058457,5.21435032631825,1.84462571328337e-07,9.39842301789786e-07,hypoip_vs_hypoinput,Borcs7
ENSMUSG00000036099,1512.19975992933,-0.561543290874549,0.107720082049533,-5.21298610426543,1.85824820923877e-07,9.4640669925221e-07,hypoip_vs_hypoinput,Vezt
ENSMUSG00000027894,10055.0020057194,0.36980363325057,0.0709568211762954,5.2116713674613,1.87146855851434e-07,9.52761148542022e-07,hypoip_vs_hypoinput,Slc6a17
ENSMUSG00000026755,1852.1134542347,0.546598931704516,0.104893596240405,5.21098476261381,1.87840881251627e-07,9.55914635567254e-07,hypoip_vs_hypoinput,Arpc5l
ENSMUSG00000020640,807.177940699562,-0.711708605744485,0.136583366906317,-5.21079998146956,1.8802808389916e-07,9.56487442272267e-07,hypoip_vs_hypoinput,Itsn2
ENSMUSG00000040859,1868.06810909751,0.543805200481206,0.104376495004821,5.21003507979541,1.88804929575626e-07,9.60058082373839e-07,hypoip_vs_hypoinput,Bsdc1
ENSMUSG00000034024,3040.48216732312,0.405514197383965,0.0778390252362715,5.20965153601388,1.89195629378072e-07,9.61663147501238e-07,hypoip_vs_hypoinput,Cct2
ENSMUSG00000071719,558.454817085137,0.895261644831901,0.17186043696903,5.2092364049629,1.89619386475673e-07,9.63434900197967e-07,hypoip_vs_hypoinput,Tmem28
ENSMUSG00000033059,2599.47324383648,-0.438279934515327,0.0841376850815649,-5.2090800227086,1.89779255989145e-07,9.63864996529886e-07,hypoip_vs_hypoinput,Pygb
ENSMUSG00000043811,325.320503498363,1.22637263074281,0.235466172571615,5.20827521570989,1.90604072652683e-07,9.67670597056848e-07,hypoip_vs_hypoinput,Rtn4r
ENSMUSG00000010097,1945.78845093069,-0.54506182478011,0.104730289900206,-5.2044334575936,1.94589332931598e-07,9.8751196522198e-07,hypoip_vs_hypoinput,Nxf1
ENSMUSG00000029405,6754.52736099823,0.401158721888281,0.0770996722686214,5.20311838020027,1.95971945252209e-07,9.94134800657879e-07,hypoip_vs_hypoinput,G3bp2
ENSMUSG00000036560,199.046022462667,-1.89541409046574,0.364305658685018,-5.20281265272505,1.96294730852095e-07,9.95378188024828e-07,hypoip_vs_hypoinput,Lgi4
ENSMUSG00000021767,1556.06740294923,-0.638163040224828,0.12269071924112,-5.20139619501836,1.9779693783368e-07,1.00259887713638e-06,hypoip_vs_hypoinput,Kat6b
ENSMUSG00000022829,804.390206255836,-0.681033559707425,0.13095318654917,-5.20058791736015,1.98659119817119e-07,1.00657096138259e-06,hypoip_vs_hypoinput,Stxbp5l
ENSMUSG00000070366,203.206588810956,1.32484666244358,0.254775172657528,5.20006187661173,1.99222192470526e-07,1.0090249700859e-06,hypoip_vs_hypoinput,Plpp4
ENSMUSG00000013701,1275.68317195855,0.556048084962424,0.106934767526501,5.19988117825776,1.99415967217429e-07,1.00960735042439e-06,hypoip_vs_hypoinput,Timm23
ENSMUSG00000061479,1394.17937744963,0.51938917532422,0.099905389202211,5.19881038922699,2.00567988398258e-07,1.01503878488755e-06,hypoip_vs_hypoinput,Snrpa
ENSMUSG00000021458,143.838249345155,-1.49183193467,0.287065825115794,-5.19682875545441,2.02716941837303e-07,1.02550923517694e-06,hypoip_vs_hypoinput,Aopep
ENSMUSG00000031111,613.962680774427,-0.898088245113786,0.17283027437118,-5.19635954048768,2.0322902400154e-07,1.02769404639137e-06,hypoip_vs_hypoinput,Igsf1
ENSMUSG00000051062,375.103161621684,0.932718088089693,0.179595170899284,5.1934474820192,2.06435194873911e-07,1.0434953006368e-06,hypoip_vs_hypoinput,Fbll1
ENSMUSG00000021488,4623.51865559076,-0.384887576232019,0.0741477635212922,-5.19081841384865,2.09371740350139e-07,1.05792171957677e-06,hypoip_vs_hypoinput,Nsd1
ENSMUSG00000022142,615.466357978243,-0.776804383274284,0.14966390400582,-5.19032553931025,2.09926733294895e-07,1.06030790715049e-06,hypoip_vs_hypoinput,Nup155
ENSMUSG00000042901,1946.57868447377,0.462133399659716,0.0890554017589772,5.1892798250515,2.11108953972585e-07,1.06553894335091e-06,hypoip_vs_hypoinput,Aida
ENSMUSG00000048379,483.215264345364,-0.802071636174564,0.154563707814461,-5.18926239229053,2.11128716807239e-07,1.06553894335091e-06,hypoip_vs_hypoinput,Socs4
ENSMUSG00000020823,1598.22546240824,-0.608334436095691,0.11725978254251,-5.18792055473199,2.12655282240887e-07,1.07282078213966e-06,hypoip_vs_hypoinput,Sec14l1
ENSMUSG00000024387,1043.88508531369,0.583559625559121,0.112520159024756,5.18626733748866,2.14550765049738e-07,1.08195730159281e-06,hypoip_vs_hypoinput,Csnk2b
ENSMUSG00000046020,377.970220396812,-1.08327704671651,0.208988781535529,-5.18342199402865,2.17851366193625e-07,1.09816971141035e-06,hypoip_vs_hypoinput,Pofut1
ENSMUSG00000001156,467.998664797247,-0.883778074343916,0.17050568412059,-5.18327631657642,2.18021665913331e-07,1.09859599961204e-06,hypoip_vs_hypoinput,Mxd1
ENSMUSG00000042364,429.839527815259,-1.06129490394998,0.204759775509892,-5.18312203315882,2.18202166435889e-07,1.09907333361222e-06,hypoip_vs_hypoinput,Snx18
ENSMUSG00000079110,42.6564982617052,-2.91512644914167,0.562439720421799,-5.1830024503879,2.18342169022034e-07,1.09934638658088e-06,hypoip_vs_hypoinput,Capn3
ENSMUSG00000060475,961.938030093318,0.863489020931845,0.166614311521724,5.18256212833949,2.18858428587146e-07,1.10151292376893e-06,hypoip_vs_hypoinput,Wtap
ENSMUSG00000047417,730.460055961973,0.763778749224647,0.147388542889005,5.18207680362123,2.19428818465673e-07,1.10395009023131e-06,hypoip_vs_hypoinput,Rexo1
ENSMUSG00000023367,497.643820539817,1.03701443024953,0.200133418333899,5.18161553868729,2.19972262721265e-07,1.10624983301032e-06,hypoip_vs_hypoinput,Tmem176a
ENSMUSG00000037072,1978.11166909921,0.613948240889365,0.118492265813186,5.18133598573694,2.20302253751718e-07,1.10747472717714e-06,hypoip_vs_hypoinput,Selenof
ENSMUSG00000040258,364.558421565011,0.94201617690043,0.181814597909737,5.18119110198237,2.20473466170507e-07,1.1079007825525e-06,hypoip_vs_hypoinput,Nxph4
ENSMUSG00000032648,189.20441982264,-1.59498543563644,0.3078671772769,-5.18075830539705,2.2098567776217e-07,1.11003938645411e-06,hypoip_vs_hypoinput,Pygm
ENSMUSG00000001036,1384.66251401143,-0.595531114154385,0.115015243876106,-5.17784507587435,2.24463504519654e-07,1.12706714220801e-06,hypoip_vs_hypoinput,Epn2
