feature	expression	ident
Npy	4.66555776246201	Affinati10x
Npy	4.228673955349	Affinati10x
Npy	4.61214635833258	Affinati10x
Npy	4.07110580865797	Affinati10x
Npy	3.8438338372031	Affinati10x
Npy	4.43762752326745	Affinati10x
Npy	4.91433740283964	Affinati10x
Npy	4.24002497947585	Affinati10x
Npy	4.63605414230597	Affinati10x
Npy	4.43345395653711	Affinati10x
Npy	4.26013409531806	Affinati10x
Npy	4.68148095089144	Affinati10x
Npy	3.6449856756933	Affinati10x
Npy	3.8616390401376	Affinati10x
Npy	5.17166523922246	Affinati10x
Npy	4.59039811180058	Affinati10x
Npy	-4.34617038572407e-06	Affinati10x
Npy	4.62474818669852	Affinati10x
Npy	4.52860979561062	Affinati10x
Npy	4.25835425322052	Affinati10x
Npy	4.57821247243239	Affinati10x
Npy	4.69033152370959	Affinati10x
Npy	4.05326934357209	Affinati10x
Npy	5.02178589370147	Affinati10x
Npy	2.87760264345807	Affinati10x
Npy	4.24887580384271	Affinati10x
Npy	4.43135948911574	Affinati10x
Npy	3.98601091035162	Affinati10x
Npy	3.89665052331709	Affinati10x
Npy	4.83200420175723	Affinati10x
Npy	4.49342565138183	Affinati10x
Npy	4.79042980443442	Affinati10x
Npy	4.6351222724712	Affinati10x
Npy	4.56712905456857	Affinati10x
Npy	2.99509067363165	Affinati10x
Npy	3.09342105555708	Affinati10x
Npy	2.75425999390407	Affinati10x
Npy	4.66502554780473	Affinati10x
Npy	4.14149629457105	Affinati10x
Npy	4.3284036465148	Affinati10x
Npy	4.67668412274847	Affinati10x
Npy	4.19488881607956	Affinati10x
Npy	3.85341143023167	Affinati10x
Npy	3.99432375395574	Affinati10x
Npy	4.50047601200911	Affinati10x
Npy	3.7900558302378	Affinati10x
Npy	4.0845574903498	Affinati10x
Npy	5.54082432620331	Anderson10x
Npy	5.83640152609057	Anderson10x
Npy	5.25327734611894	Anderson10x
Npy	4.40577705359005	Anderson10x
Npy	4.30769075433084	Anderson10x
Npy	4.62313158536638	Anderson10x
Npy	6.29188332941269	Anderson10x
Npy	4.1775079742781	Anderson10x
Npy	5.70782695252257	Anderson10x
Npy	5.4539623150653	Anderson10x
Npy	4.50005432351149	Anderson10x
Npy	3.63855838735606	Anderson10x
Npy	4.87387287428465	Anderson10x
Npy	0.642132808536686	Anderson10x
Npy	5.20604429842879	Anderson10x
Npy	4.05389705908053	Anderson10x
Npy	3.80195024699265	Anderson10x
Npy	4.72156056846069	Anderson10x
Npy	3.12616490199447	Anderson10x
Npy	4.42654926459247	Anderson10x
Npy	5.90186225720403	Anderson10x
Npy	3.98444870483403	Anderson10x
Npy	4.43138132933035	Anderson10x
Npy	5.42498171455509	Anderson10x
Npy	5.22687578128305	Anderson10x
Npy	6.14085573768966	Anderson10x
Npy	3.60971565649694	Anderson10x
Npy	4.08362962472301	Anderson10x
Npy	4.06990548156071	Anderson10x
Npy	3.49703904755845	Anderson10x
Npy	5.09336598562526	Anderson10x
Npy	5.84135198355503	Anderson10x
Npy	4.32107643161801	Anderson10x
Npy	5.16791724560558	Anderson10x
Npy	5.27809634221285	Anderson10x
Npy	3.41200414632425	Anderson10x
Npy	5.87977928210355	Anderson10x
Npy	4.81602337489452	Anderson10x
Npy	2.32311719108356	Anderson10x
Npy	5.90859025096064	Anderson10x
Npy	4.90220916674519	Anderson10x
Npy	5.64059494026254	Anderson10x
Npy	5.87620107583382	Anderson10x
Npy	4.58128080080183	Anderson10x
Npy	5.67954296216658	Anderson10x
Npy	5.09851406572739	Anderson10x
Npy	4.40867671463898	Anderson10x
Npy	3.44196441785215	Anderson10x
Npy	5.11706469145589	Anderson10x
Npy	4.16252064862537	Anderson10x
Npy	4.46874525265083	Anderson10x
Npy	2.79683334371545	Anderson10x
Npy	3.31382524194227	Anderson10x
Npy	5.02286266505907	Anderson10x
Npy	5.20722092155508	Anderson10x
Npy	1.52608158642419e-06	Anderson10x
Npy	4.70889148735668	Anderson10x
Npy	4.79029696287963	Anderson10x
Npy	4.51672497286196	Anderson10x
Npy	6.29939512702435	Anderson10x
Npy	4.1925798139603	Anderson10x
Npy	5.2201015133531	Anderson10x
Npy	5.24372671779451	Anderson10x
Npy	4.67272521827178	Anderson10x
