cluster	agrp	pomc	pomc_glp1r	pomc_lepr
C286-44	0.00230221074482281	0.00558021940936262	0.0140007114576963	0.00420254374709843
C286-45	0.00697140227587173	0.000745554377074829	0.0114953848118607	0.00190944537170422
C286-46	0.0025582066809918	0.00280677076034438	0.0100564245476115	0.00157948776992471
C286-47	0.000476169535064956	0	0.00460534072282309	0
C286-48	0.00136892587505667	0.000186728006646016	0.00354755093323217	0.000886867340172005
C286-49	0.00215186285775039	0.00726174301486061	0.00136022590186658	0.00066882951191442
C286-5	0.000714457225949735	0.00136814169565229	0.000418311395070299	0.00496489818589399
C286-50	0.00351942421380599	0.00527213350658066	0.00556689761192352	0.00118883882501377
C286-51	0.00301196229957236	0.00293915697329577	0.0149448168190477	0.0032410115376489
C286-52	0.00450227484266083	0.00355334883213222	0.0236929966990996	0.00170002707941626
C286-53	0.000567573018312488	0.00145591886368088	0.0103121760273088	0.00127074682824737
C286-54	0.000384411809649222	0.000132700318205286	0.00772961410048344	0.00209029691468454
C286-55	0	0	0.0112062110316052	0
C286-56	0	0.00282082632966467	0.00263692434519489	0.00966169187564087
C286-57	0.00141957676175677	0.00194010668001119	0.0118318934701396	0.00203144438973139
C286-58	0.00721131237581349	0.0102706287257584	0.0178742319504793	0.0128677010110251
C286-59	0.0100588781541003	5.32217470581578e-05	0.0010076157479978	0.000325340637010425
C286-6	0.00450362572036811	0.00179959461656228	0.0014364715589946	0.00156029897213872
C286-60	0.00545298105670291	0.00477234596607411	0.00304497436179589	0.00132878631701796
C286-61	0.00134378013488386	0	0.0104781543602705	0.000217456205823399
C286-62	0.00134378013488386	0.00146518583431349	0.0388542309872609	0.00613414279383184
C286-63	0.0200534454439459	0.0546225540019503	0.070866629466473	0.0542662846750817
C286-64	0.00465260360794188	0.00915188695244837	0.0245653495831408	0.019350903084605
C286-65	0.000160568347651877	0.0434129713241092	0.0385174484650445	0.045879195340906
C286-66	0.00394997648794803	5.67304291978535e-05	0.00363867142411258	0.0102567197560063
C286-67	0.00280225008711826	0.00531892261650716	0.00514774476209087	0.0098143400620999
C286-68	0.0489526122627263	0.0407733128473194	0.0550697377939025	0.0145239252092133
C286-69	0.00167092843291731	0.00768048847494397	0.0296924718641243	0.0276515592046441
C286-7	0.000289825981691919	0.00031759186389903	0.00145930194908451	0.00139946289520984
C286-70	0.033237726867082	0.00210229654871581	0.00576983787083631	0.00992120454913352
C286-71	0.00637293725350217	0.00975173938883329	0.0103518254428402	0.009416834005566
C286-72	0.00909721789910123	0.00866350045858335	0.0335395259298517	0.0214882092803485
C286-73	0.00296815401785925	0.00893773514885414	0.0116855628517448	0.0124234119949472
C286-74	0.00709078835242759	0.0180832579344431	0.0291461616719491	0.0301674953675926
C286-75	0.101231507530088	0.25641231453062	0.299371818348242	0.415192780942522
C286-76	0.0450541434751388	0.18481259742569	0.245477108838914	0.242138145797111
C286-77	0.0891982894909764	0.196759207069251	0.324953209717094	0.262892922724558
C286-78	0.0421124170936176	0.0556547669661394	0.0597488932020189	0.0487737993567614
C286-79	0.00370205644727927	3.50868213969568e-06	0.0034862320971328	0.000173106113421071
C286-8	0.0269983253315111	0.0119070747574885	0.0150650413897437	0.0160191968803732
C286-80	0.0341168207383608	3.28643450298922e-05	0.00610455075266981	0.00501665085974096
C286-81	0.0112390752311621	0.00654441907811145	0.0177839390979121	0.0167790451425039
C286-82	0.01706052299629	0.00311145344719779	0.00455583903790169	0.00637350251883616
C286-83	0	0.000878366185882028	6.95794416641138e-06	0.00130896811473892
C286-84	0.011446728202313	0.0446696060732394	0.0375575026441499	0.0777792566417647
C286-85	0.0009184910017126	0.00165883399045676	0.00232957692965098	0.00226065376671159
C286-86	0.00077115951137068	0	0.00408126139207258	0.00053645238248435
C286-87	0.000995641522983827	0.00575389698650347	0.0111543955379175	0.00838784985604143
C286-88	0.00105850133309116	0.00074911170738104	0.00522453428826828	0.00166358969382416
C286-89	0.00132749655656417	0.0169558293306898	0.0095196638970489	0.00704476275050946
C286-9	0	0.00266694976741443	0	0.000253268673590378
C286-90	0.00187094643669772	0.00468729733555244	0.00618614501120738	0.00585944075359257
C286-91	0.00034328206641506	0.0117597234136973	0.00285344683806192	0.0028703113930568
C286-92	0.00747611010273531	0.0260373292221894	0.0234934441810953	0.0189562535376786
C286-93	0.0093933808785955	0.0034820476296374	0.00908249610322691	0.014778099841812
C286-94	0.000522321650452881	0	0	0.00391635391420006
C286-95	0.000125103703085673	3.50868213969568e-06	0.00283891408615732	0.000173106113421071
C286-96	0	0	0	0
C286-97	0	0.083374776213015	0.083374776213015	0.0833861522612091
C286-98	0	0	0	0
C286-99	0.0157320201336787	0.00388383043878692	0.0126487121915108	0.00463727239311886
