p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
5.97733805259597e-276	0.687250619022145	0.58	0.396	3.31138550775764e-271	Lrpap1	0.184
7.56102551899728e-276	0.5908103283328	0.448	0.223	4.1887325272693e-271	Rrp1	0.225
2.03972619056085e-275	0.694426207052593	0.492	0.284	1.1299879123088e-270	Tpi1	0.208
1.70481765323031e-274	-0.377373029115232	0.944	0.985	9.44451931713058e-270	Cacna1d	-0.041
1.91520769568519e-274	-0.304787967739083	0.986	0.993	1.06100591133264e-269	Ank2	-0.00700000000000001
9.31208142161383e-274	0.563173610698538	0.405	0.174	5.15879998675985e-269	Gabarap	0.231
5.82618538003547e-273	1.1974693343922	0.353	0.123	3.22764843868585e-268	Cartpt	0.23
1.0723929368583e-272	0.616636141409051	0.497	0.273	5.94094963090127e-268	Atp5b	0.224
7.38464632389984e-272	0.677131675907162	0.465	0.251	4.09102021697727e-267	Thy1	0.214
1.53198545424543e-271	0.449882279970821	0.309	0.099	8.48704621797427e-267	Uqcrfs1	0.21
3.93997048603282e-270	0.610388341580025	0.534	0.32	2.18270424955732e-265	Gabarapl2	0.214
6.95401564757183e-270	0.60292244074743	0.463	0.244	3.85245512859832e-265	Arl6ip5	0.219
1.18457606246954e-269	0.620550618741538	0.459	0.242	6.56243292847501e-265	Atp6v1e1	0.217
1.89198852541237e-268	0.558341157301733	0.847	0.731	1.0481427231932e-263	Ddx5	0.116
4.91573534573927e-266	-0.371762164410854	0.925	0.97	2.7232682241861e-261	Rere	-0.0449999999999999
5.31908743717855e-266	0.576038116614139	0.686	0.52	2.94672124932254e-261	Cdr1os	0.166
1.95652016408344e-265	0.555992502480569	0.4	0.176	1.08389260570059e-260	Ndufs5	0.224
3.68772567085894e-265	0.49431392805169	0.34	0.12	2.04296314439915e-260	Cnpy2	0.22
2.22052445220096e-263	0.52865727510543	0.389	0.165	1.23014834127481e-258	Prdx1	0.224
9.05972935209448e-263	0.466606953977145	0.323	0.112	5.01899946376682e-258	Btf3	0.211
4.24492378594581e-262	0.596494440782682	0.445	0.216	2.35164532817612e-257	Tmco1	0.229
9.31289658635239e-262	0.413142263167329	0.283	0.08	5.15925157987336e-257	Wdr83os	0.203
2.71469507373284e-261	0.393203393119264	0.257	0.063	1.50391392389725e-256	Rpl4	0.194
2.44459220087174e-260	1.12141709095039	0.265	0.067	1.35427963336093e-255	Sst	0.198
1.18306012205791e-259	0.553641639685005	0.458	0.237	6.55403477018859e-255	Gabarapl1	0.221
1.71256383956102e-258	0.654271336941914	0.547	0.369	9.48743241478409e-254	Tle5	0.178
2.59321878883993e-258	0.525179106666943	0.385	0.167	1.43661727682943e-253	Psmc5	0.218
3.46738737822417e-257	0.6227591580338	0.601	0.436	1.92089793366241e-252	Canx	0.165
1.97686568059246e-256	0.534520850979551	0.406	0.185	1.09516381839142e-251	Eif1b	0.221
2.34843139025875e-256	0.616274756057155	0.482	0.273	1.30100750588945e-251	Ndufa6	0.209
1.73466794072588e-255	0.487332305491562	0.338	0.125	9.60988692482733e-251	Dctn3	0.213
9.14998170372871e-254	0.371536614327669	0.238	0.053	5.06899836404867e-249	Rpl27	0.185
9.56802464008806e-254	0.431116905905746	0.294	0.093	5.30058997036238e-249	Pgk1	0.201
1.93251585283252e-252	0.607478226983752	0.531	0.329	1.07059445731069e-247	Ndufb1	0.202
3.0998651779617e-252	0.555880254032562	0.557	0.356	1.717294309939e-247	Ssr4	0.201
3.82335874727502e-251	0.667072805037336	0.617	0.491	2.11810251240289e-246	Bex3	0.126
8.85327088380911e-251	0.568138169140252	0.505	0.285	4.90462353692141e-246	C1qtnf4	0.22
1.05751121904834e-250	0.569178439702188	0.435	0.218	5.85850640240589e-246	Nedd8	0.217
1.71739077582662e-250	0.425895333579413	0.298	0.097	9.51417315900188e-246	Ndufa12	0.201
1.26198336778655e-249	0.491304722752012	0.348	0.13	6.99126165920073e-245	Ndufb2	0.218
1.33563102542649e-249	0.631685322110277	0.57	0.379	7.39926231776022e-245	Chga	0.191
2.63644002457233e-249	-0.449414895979924	0.859	0.939	1.46056140921282e-244	Nav2	-0.08
2.28232402239991e-248	0.367596945723904	0.233	0.05	1.26438468516933e-243	Ndufs8	0.183
7.68922432909354e-247	0.492643044576961	0.38	0.162	4.25975338607453e-242	Nop10	0.218
9.85607365824719e-246	0.526713673041227	0.504	0.291	5.46016624593236e-241	Emc7	0.213
1.08210575241098e-244	0.515845387154126	0.953	0.916	5.9947576577816e-240	Kidins220	0.0369999999999999
1.132781928265e-244	0.446276278902783	0.332	0.123	6.2754986043953e-240	Rtraf	0.209
3.64479806391537e-243	0.509682267680467	0.393	0.177	2.01918167942848e-238	Hcfc1r1	0.216
9.14566849770098e-242	0.395160732300849	0.272	0.08	5.06660889104136e-237	Rtl8b	0.192
5.65652611160069e-241	0.537619057696594	0.403	0.183	3.13365890056567e-236	Prnp	0.22
8.31327415663844e-241	0.496440671617962	0.371	0.159	4.60547075003613e-236	Ier3ip1	0.212
1.08592625534081e-240	0.511232526604157	0.376	0.164	6.01592286196253e-236	Pfdn2	0.212
1.40635127600464e-240	-0.420479668311911	0.76	0.894	7.79104543393808e-236	Sik3	-0.134
1.54897143195467e-240	0.392249278557255	0.242	0.061	8.58114683588569e-236	Dbi	0.181
1.76363317230654e-240	-0.461757337219656	0.716	0.858	9.77035141126102e-236	Cmip	-0.142
7.37275009769635e-239	0.441133232209384	0.308	0.106	4.0844298266228e-234	Ndufab1	0.202
7.94272412088085e-239	-0.402052176157305	0.888	0.951	4.40018973572678e-234	Tnik	-0.0629999999999999
3.31348250007247e-238	0.457388860766982	0.334	0.13	1.83563617021515e-233	Tgoln1	0.204
1.74483494745488e-237	0.459492475519344	0.291	0.096	9.66621112540527e-233	Gpx3	0.195
2.69620252266783e-237	0.372250930161417	0.251	0.066	1.49366923553275e-232	Rps6	0.185
4.13317304953326e-236	0.550158513836557	0.544	0.343	2.28973653771093e-231	Tmem59	0.201
1.20440855265154e-235	0.5283655821857	0.406	0.192	6.67230294083429e-231	Tceal9	0.214
4.38935944480892e-235	-0.257552583826125	0.995	0.998	2.43166123882969e-230	Ank3	-0.003
7.40654828052047e-235	0.491764088293184	0.398	0.184	4.10315368192554e-230	Laptm4a	0.214
1.7052930456904e-234	0.393297419888421	0.273	0.081	9.44715294382022e-230	Ap2s1	0.192
6.48425103068445e-234	0.378627623769169	0.257	0.07	3.59221022848888e-229	Aurkaip1	0.187
4.56980967319893e-233	0.561545195056247	0.386	0.182	2.53162886085547e-228	Tmem158	0.204
7.58894773474194e-233	0.345478046867121	0.229	0.057	4.20420115556969e-228	Tuba4a	0.172
4.26299146137768e-231	0.501632344991253	0.417	0.213	2.36165463968862e-226	Ndufv3	0.204
4.29896056688047e-231	0.422836941893137	0.306	0.108	2.38158116444611e-226	Ccdc85b	0.198
1.97758824340004e-230	0.652335106516454	0.449	0.248	1.09556411096119e-225	Vstm2l	0.201
7.48184676315875e-230	0.601496389052191	0.29	0.104	4.14486828832231e-225	Calb2	0.186
1.99011008408467e-229	0.542453863057003	0.487	0.283	1.10250108548207e-224	Ctsl	0.204
5.84402365181787e-229	0.617248121007633	0.553	0.388	3.23753066287058e-224	Atp5j2	0.165
